SL.NO,Sub_Assy_part_No,REV_NO,Child_Part_No,Part_Name,801033002,Quantity,801033007,801033001S,801033006S,801032566,801032563,801032568,801032569,801032562,801032539,801032537,801032531,801032529,801032525,801032519,801032510,801033008,801032573,801032595,801032608,801032511,801032589,801032614S,801032612S,801032598,801032618,801032603,801023089,801032597,801032627S,801032638,801032625,801032619,801032601,801032652S,801032651S,801032656S,801032662,801032658S,801032665,801032697S,801032605S,801032632S,801032694,801212223,801032719S,"801032787S - WIRED RACK , 93E 500KVA Busbar Panel, O/S","801032641S - WIR RACK,93E 200KVA MBS INT O/P TRX- O/S","801032630S - WIRED RACK, 93E 160KVA MBS Int Trx-O/S","801033052S - WR, 93E 160KVA MBS, I/P Int Trx, K13, O/","801033054S - WIR RCK,93E100kVA MBS INT TRX Cu,K13,O/S","801033056S - WR ,93E 160KVA MBS,I/P Trx,W/t Trx MBS","801033057S - WR 93E, 80 kVA, MBS, IT42 TRX MBS Datson","801033059S - WR,93E 160KVA MBS,I/P Trx,W/t Trx MBS OS",Surface_Finish,Material,Qty_In_Drawing,Thickness,Width,Length,Blank_Wt,Powder_Coating_Area,Powder_Usage_in_Kgs,Assembly/Sub_part,commodity,Source,Wire_Rack/Non_Wire Rack_Parts,Revion_No,Revision_Details,Tapping,No.Of_Bends,Clinching /Riveting,Welding,METAL_STAMP ,POWDER_COATING,,,,,,,
0,0,0,TPS-4mm-8,TPS Pin 4X8 SS,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,4,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,SVT,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
103,373-54193,0,0,SUPPORT PLATE(INDUCTOR),0,2,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,167.50,382.00,0.75,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,8,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,8,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
104,373-54194,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,764.10,921.00,8.29,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,30,Y,0,Y,Y,0,0,0,,,,
0,0,0,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,12,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
105,373-54195,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,216.00,696.00,1.77,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,5,Y,0,Y,0,TOP COVER,0,0,,,,
0,0,0,SE-BSO 3.5M3-8,Stand Off M3X8 ,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,2,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
106,373-54196,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,235.00,697.00,1.93,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,9,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-BSO 3.5M3-8,Stand Off M3X8 ,0,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,8,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
107,373-54197,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,176.50,520.50,1.08,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,18,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,8,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
108,373-54198,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,185.50,520.50,1.14,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,12,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,6,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
109,373-54199,0,0,REAR COVER(UP),0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,542.60,775.20,4.95,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,0,0,0,Y,0,0,0,0,,,,
110,373-54201,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,389.50,371.50,1.70,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,15,Y,0,Y,0,0,0,0,,,,
0,,,SE-BSO 3.5M3-8,Stand Off M3X8 ,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,5,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-FH M4-12,Stud  M4X12,0,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,6,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-FH M4-10,Stud  M4X10,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,1,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
111,373-54202,1,0,SUPPORT PLATE(17),0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,209.50,663.00,1.64,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,2,Y,0,Y,0,0,0,0,,,,
0,,,SE-FH M6-30,Stud  M6X30,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,2,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-S M6-1,Clinch Nut M6-1.5mm(Zinc Blue Platting),0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,2,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
112,373-54481,0,0,BOTTOM COVER,0,0,1,0,0,1,1,1,1,1,1,1,1,0,3,3,0,1,1,1,1,0,1,0,1,1,1,1,1,0,3,2,2,2,1,2,2,1,1,1,1,1,1,1,BOTTOM COVER 1342L EATON,2,2,2,1,1,1,1,1,1,1,0,SGCC,1,1.20,160.00,500.00,0.75,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,0,Y,0,Y,0,0,0,0,,,,
113,373-54482,0,0,BOTTOM COVER,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,#N/A,0,,,,,,1,,1,,0,SGCC,1,1.00,127.00,427.00,0.43,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,0,0,0,Y,0,0,0,0,,,,
114,373-54483,0,0,FIXED PLATE(BYPASS-BAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,103.00,126.00,0.15,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,4,0,0,Y,0,0,0,0,,,,
115,801221215,B,0,SMP SUP PLATE CONTA 120kVA (373-54138),0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,568.60,510.00,3.41,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,Revision 2 to 3,Hole Pitch 150 to 155,Y,4,Y,0,Y,0,0,0,0,,,,
0,,,SE-BSO 3.5M3-14,Stand Off M3X14,0,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,7,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-FH M4-12,Stud  M4X12,0,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,10,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
116,373-54139,2,0,FIXTURE PLATE(IO-CONTACTOR) 1332L EATON,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,813.00,203.00,1.94,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,Revision 1 to 2,Hole Pitch 91.5 to 96.5,Y,10,0,0,Y,0,0,0,0,,,,
117,373-54200,1,0,SUPPORT PLATE(BAT MC) 1332L EATON,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.00,407.00,202.00,1.29,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,8,Y,0,Y,0,0,0,0,,,,
0,,,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,10,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
118,373-54203,0,0,SUPPORT PLATE(18) 1332L EATON,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.00,31.00,192.60,0.05,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,0,0,0,Y,0,0,0,0,,,,
119,373-54204,0,0,SUPPORT PLATE(19) 1332L EATON,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.00,41.00,192.60,0.06,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,0,0,0,Y,0,0,0,0,,,,
120,801221216,B,0,"SMP, SUPPORT PLATE BATT -VE BUSBAR 100KVA",1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,2.00,60.00,89.50,0.23,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,6,Y,0,Y,0,0,0,0,,,,
0,,,SE-SS M6-2,Clinch Nut M6-1.5/2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,,2,,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
121,373-55286,0,0,FIXTURE PLATE(BATMC-2) 1332S EATON,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.00,133.20,262.40,0.55,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,Newly Added on 04.09.2015,0,0,6,Y,0,Y,0,0,0,0,,,,
0,,,SE-FH M6-10,Stud  M6X10,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,2,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,Newly Added on 04.09.2015,0,0,0,0,0,0,0,0,0,0,,,,
122,801221181,0,0,SPRT.PLT.(IO GUARD-R) 1342 ETN,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,2,1,2,2,1,1,2,0,0,0,2,0,0,2,2,1,0,0,2,2,#N/A,0,,,,,,,2,1,,0,SGCC,1,0.80,240.30,252.00,0.38,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,Newly Added on 04.09.2015,801221122-PART NO CHANGED FOR OILCAP,0,3,0,0,Y,0,0,0,0,,,,
122,801221123,0,0,"SMP, IRON SPACER EMI FILTER COVER ",8,8,8,8,8,8,8,8,16,8,8,8,8,8,16,16,8,16,8,8,8,8,16,8,16,8,8,8,4,4,8,0,0,0,8,0,0,16,16,4,0,0,8,8,#N/A,0,,,,,,,8,8,,0,SGCC,1,0.00,240.30,252.00,0.00,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,Newly Added on 04.09.2015,0,BOUGHT OUT PART,,,,,,0,0,0,,,,
0,373-55809,1,0,SUPPORT PLATE(100K CAP BOOM) 1322S ETN,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,#N/A,0,,,,,,,,1,,0,SGCC,1,1.50,641.00,170.00,1.28,0.00,0.00,0,Sheet Metal,0,Non Wire Rack Parts,0,NEW ADDED FOR OIL CAP,Y,6,Y,0,Y,0,0,0,0,,,,
0,,,SE-SS M6-2,Clinch Nut M6-1.5/2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0,Fastener,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
0,373-55826,0,0,SUPPORT PLATE(SLIDE CAP 200K) 1342 ETN,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,2.00,588.60,147.50,1.36,0.00,0.00,0,Sheet Metal,0,Wire Rack Parts,0,NEW ADDED FOR OIL CAP,0,5,Y,0,Y,0,0,0,0,,,,
0,,,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,7,7,,7,,7,0,0,7,0.00,0.00,0.00,0.00,0.00,0.00,0,Fastener,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,TPS-5X12,5x12 TPS PIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,4,4,,4,,4,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0,Fastener,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221183,0,0,"SMP, SUPPORT PLATE(CAP 200K) 1342 ETN(373-55827",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,#N/A,0,,,,,,,1,,,0,SGCC,1,1.50,136.50,569.60,0.92,0.00,0.00,0,Sheet Metal,0,Non Wire Rack Parts,0,NEW ADDED FOR OIL CAP-PART NO CHANGED(373-55827),0,6,0,0,Y,0,0,0,0,,,,
0,MBS PARTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221127,A,0,SMP Clamp for Acrylic Sheet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.0,50.0,81.0,0.1,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,1,0,0,Y,0,0,0,0,,,,
0,801221135,A,0, Front door ,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,#N/A,0,,,,,,,,,,EN327N,SGCC,1,1.2,378.4,1908.4,6.8,1.44,0.32,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,8,0,Y,Y,Y,0,0,0,,,,
0,,,373-54119-Part4,Part-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,EN327N,SGCC,1,2.00,63.00,1821.00,1.80,0.23,0.05,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,3,N,0,0,0,0,0,0,,,,
0,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,8,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,CL 248-2,Hinge CL 248-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,3,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,Arihant,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221136,B,0, Handle Mount Plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.2,351.5,1852.2,6.1,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,5,0,0,Y,0,0,0,0,,,,
0,,,801221136-part2, Handle Mount Plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,1,1.2,75.0,75.0,0.1,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,1,N,0,0,0,0,0,0,,,,
0,801221137,A,0," Breaker mount plate, Neutral",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.0,150.0,708.3,1.7,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,3,Y,0,Y,0,0,0,0,,,,
0,,,SE-SS M5-2,Clinch Nut M5-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,4,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-S M4-2,Clinch Nut M4-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,2,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221138,A,0, Breaker mount plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.0,170.0,710.3,1.9,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,4,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M4-2,Clinch Nut M4-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,6,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221139,A,0,Rear door ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.5,275.0,1850.0,6.0,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,0,0,0,Y,0,0,0,0,,,,
0,801221140,A,0,Base frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.0,371.5,891.0,5.2,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,9,Y,Y,Y,0,0,0,0,,,,
0,,,801221140-part-2,Base frame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,1,1.5,650.0,72.0,0.6,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,2,N,0,0,0,0,0,0,,,,
